Edad,Antiguedad,Plan,Gasto_Mensual,Reclamos,Churn,Gasto_Anual,Reclamos_Por_Año,Indice_Fidelidad
0.9215686274509803,0.3220338983050848,0,0.3059360730593607,0,0,1164,0.0,3783
0.1568627450980392,0.6186440677966102,1,0.7899543378995434,3,0,2436,0.49,15022
0.5294117647058824,0.6440677966101696,2,0.3470319634703196,4,1,1272,0.62,8162
0.9803921568627451,0.635593220338983,0,0.39726027397260266,0,1,1404,0.0,8892
0.8627450980392156,0.42372881355932207,0,0.1917808219178082,1,1,864,0.24,3672
0.5098039215686275,0.864406779661017,1,0.2465753424657534,1,0,1008,0.12,8652
0.019607843137254943,0.8389830508474576,1,0.2374429223744292,3,1,984,0.36,8200
0.1960784313725491,0.6864406779661018,1,0.6986301369863014,2,0,2196,0.29,15006
0.8431372549019608,0.288135593220339,0,0.9406392694063926,3,0,2832,1.03,8260
0.03921568627450983,0.6186440677966102,2,0.7671232876712328,2,0,2376,0.32,14652
0.6274509803921569,0.788135593220339,0,0.6255707762557078,2,1,2004,0.26,15698
0.8039215686274509,0.33898305084745767,0,0.8036529680365296,1,0,2472,0.29,8446
0.5686274509803921,0.6779661016949152,1,0.684931506849315,1,0,2160,0.15,14580
0.4901960784313726,0.19491525423728814,0,0.8493150684931506,2,0,2592,1.0,5184
0.9411764705882354,0.48305084745762716,1,0.7990867579908675,2,0,2460,0.41,11890
0.8039215686274509,0.923728813559322,1,0.136986301369863,3,0,720,0.33,6600
1.0,0.3898305084745763,1,0.9178082191780822,4,0,2772,1.02,10857
0.47058823529411764,0.7542372881355932,2,0.3561643835616438,2,1,1296,0.27,9720
0.33333333333333337,0.8983050847457628,1,0.6575342465753424,2,0,2088,0.22,18618
0.9803921568627451,0.711864406779661,2,0.9406392694063926,1,0,2832,0.14,20060
0.019607843137254943,0.9915254237288136,0,0.547945205479452,4,1,1800,0.41,17700
1.0,0.7203389830508474,0,0.406392694063927,0,0,1428,0.0,10234
0.5882352941176471,0.1271186440677966,1,0.4748858447488584,2,1,1608,1.5,2144
0.8823529411764707,0.9067796610169492,1,0.680365296803653,5,1,2148,0.56,19332
0.5882352941176471,0.9067796610169492,0,0.8949771689497715,3,0,2712,0.33,24408
0.2941176470588236,0.9067796610169492,2,0.0958904109589041,1,0,612,0.11,5508
0.8039215686274509,0.5847457627118644,1,0.4474885844748858,2,0,1536,0.34,8960
0.17647058823529416,1.0,1,0.3561643835616438,2,0,1296,0.2,12852
0.47058823529411764,0.6949152542372882,1,0.1735159817351598,1,1,816,0.14,5644
0.33333333333333337,0.1271186440677966,0,0.1963470319634703,3,1,876,2.25,1168
0.6470588235294118,0.6271186440677966,0,0.5662100456621004,3,0,1848,0.48,11550
0.7843137254901961,0.6779661016949152,2,0.43378995433789946,2,0,1500,0.3,10125
0.7647058823529412,0.1440677966101695,0,0.863013698630137,0,0,2628,0.0,3942
0.9215686274509803,0.923728813559322,1,0.2648401826484018,3,0,1056,0.33,9680
0.9215686274509803,0.4745762711864407,1,0.2648401826484018,1,0,1056,0.21,5016
0.9607843137254902,0.2796610169491526,0,0.4429223744292238,3,0,1524,1.06,4318
0.21568627450980393,0.3135593220338983,0,0.2511415525114155,2,0,1020,0.63,3230
0.33333333333333337,0.5338983050847458,1,0.1872146118721461,0,0,852,0.0,4544
0.019607843137254943,0.3728813559322034,1,0.8493150684931506,1,1,2592,0.27,9720
0.0,0.8220338983050848,1,0.6621004566210046,3,1,2100,0.37,17150
0.2549019607843137,0.1694915254237288,2,0.9041095890410958,1,0,2736,0.57,4788
0.33333333333333337,0.940677966101695,1,0.7031963470319634,0,1,2208,0.0,20608
0.4509803921568628,0.0,1,0.5296803652968036,3,0,1752,36.0,146
0.6862745098039217,0.1271186440677966,1,0.4657534246575342,3,0,1584,2.25,2112
0.43137254901960786,1.0,2,0.1232876712328767,2,1,684,0.2,6783
0.23529411764705888,0.5254237288135594,1,0.9406392694063926,2,0,2832,0.38,14868
0.5098039215686275,0.05084745762711865,2,0.9452054794520547,1,1,2844,1.71,1659
0.8627450980392156,0.9661016949152542,1,0.3470319634703196,1,0,1272,0.1,12190
0.019607843137254943,0.44067796610169496,1,0.406392694063927,1,0,1428,0.23,6307
0.6862745098039217,0.13559322033898305,0,0.8082191780821918,3,0,2484,2.12,3519
0.23529411764705888,0.44067796610169496,0,0.3424657534246575,4,0,1260,0.91,5565
0.5882352941176471,0.48305084745762716,0,0.6529680365296803,2,0,2076,0.41,10034
0.47058823529411764,0.7627118644067796,0,0.3424657534246575,2,1,1260,0.26,9555
0.2549019607843137,0.16101694915254236,2,0.7351598173515982,1,0,2292,0.6,3820
0.1960784313725491,0.07627118644067796,0,0.45662100456621,2,0,1560,2.4,1300
0.09803921568627455,0.2627118644067797,0,0.4429223744292238,0,1,1524,0.0,4064
0.607843137254902,0.059322033898305086,1,0.949771689497717,6,1,2856,9.0,1904
0.1568627450980392,0.8135593220338984,0,0.6666666666666666,2,0,2112,0.25,17072
0.4901960784313726,0.8474576271186441,1,0.9817351598173515,2,0,2940,0.24,24745
0.9019607843137255,0.4491525423728814,2,0.6666666666666666,1,1,2112,0.22,9504
0.4117647058823529,0.6440677966101696,1,0.639269406392694,3,1,2040,0.47,13090
0.607843137254902,0.11864406779661016,2,0.7351598173515982,1,0,2292,0.8,2865
